Company,Website,State,City,Specialty,Procedure_Focus_Final,Disease_Focus_Tag,Disease_Focus_Evidence,Estimated_ASC_Count,Affiliated_Surgeon_Count,Procedure_Volume_Tier,Ownership_Model,Lead_BD_Contact,Contact_LinkedIn,Flagship_NPI
Baylor Surgical Hospital at Las Colinas,https://www.baylorlascolinas.com/,TX,Irving,Multi-Specialty,Ortho/General,Orthopedics | Spine | Pain Management,Joint venture between USPI and BSW focusing on surgical procedures: [baylorlascolinas.com],1,100+,High,Hybrid JV (BSW/USPI),Julie Lowery (SVP Dev),https://www.linkedin.com/in/julie-lowery-a1286b11/,1366548773
Texas Health Surgery Center Alliance,https://texashealthsurgerycenteralliance.com/,TX,Fort Worth,Multi-Specialty,Mixed,Multi-Specialty,Texas Health Resources/USPI Joint Venture: [texashealthsurgerycenteralliance.com],1,40+,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,https://www.linkedin.com/in/winjietangmiao/,1538356951
Middleburg Surgery Center,https://middleburgsurgery.com/,FL,Jacksonville,Multi-Specialty,Ortho/Uro/GI,Orthopedics | GI / Endoscopy,Baptist Health South Florida and Compass Surgical Partners JV: [middleburgsurgery.com],1,15,Mid,Hybrid JV (Baptist/Compass),Scott Bacon (SVP Compass),https://www.linkedin.com/in/scottbacon/,1295111289
Endoscopy Center of Long Island,https://www.ecligastro.com/,NY,Garden City,GI / Endoscopy,GI,GI / Endoscopy,Northwell Health Joint Venture focused on GI: [ecligastro.com],1,50+,High,Hybrid JV (Northwell),Jeff Kraut (SVP Strategy),https://www.linkedin.com/in/jeff-kraut-41b447a/,1194729116
Melville Surgery Center,https://melvillesurgerycenter.com/,NY,Melville,Multi-Specialty,Ortho/Ophtho/Pain,Orthopedics | Pain Management,Large multi-specialty Northwell JV in Suffolk County: [melvillesurgerycenter.com],1,80+,High,Hybrid JV (Northwell),Jeff Kraut,,1942353347
Northside Alpharetta Outpatient Surgery Center,https://www.northside.com/locations/alpharetta-outpatient-surgery-center,GA,Alpharetta,Multi-Specialty,Ortho/Spine,Orthopedics | Spine,Northside Hospital facility focusing on outpatient surgery: [northside.com],1,40+,Mid,Hospital-Owned,Bob Quattrocchi (CEO),https://www.linkedin.com/in/robert-quattrocchi-0b540212/,1467468160
Gastro One (One GI),https://www.gastro1.com/,TN,Memphis,GI / Endoscopy,GI,GI / Endoscopy,Flagship One GI partner with multiple locations in Memphis: [gastro1.com],3,40+,High,Corporate MSO (One GI),Stephanie Tapp (Director Recruit),https://www.linkedin.com/in/stephanie-tapp-3a111a43/,1679695670
Cardiovascular Associates of Central Florida,https://www.cvadrs.com/,FL,Orlando,Cardiology,Cardiac,Cardiology,Partner of Cardiovascular Associates of America (CVAUSA): [cvadrs.com],1,9,Mid,Corporate MSO (CVAUSA),Tim Attebery (CEO CVAUSA),https://www.linkedin.com/in/timattebery/,1730166067
Texas Health Surgery Center Arlington,https://texashealthsurgerycenterarlington.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Carrollton,https://texashealthsurgerycentercarrollton.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Ennis,https://texashealthsurgerycenterennis.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Fort Worth,https://texashealthsurgerycenterfortworth.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Granbury,https://texashealthsurgerycentergranbury.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Keller,https://texashealthsurgerycenterkeller.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Las Colinas,https://texashealthsurgerycenterlascolinas.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Mansfield,https://texashealthsurgerycentermansfield.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center McKinney,https://texashealthsurgerycentermckinney.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Plano,https://texashealthsurgerycenterplano.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Plano Parkway,https://texashealthsurgerycenterplanoparkway.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Bedford,https://texashealthsurgerycenterbedford.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Denton,https://texashealthsurgerycenterdenton.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Park Cities,https://texashealthsurgerycenterparkcities.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Texas Health Surgery Center Rockwall,https://texashealthsurgerycenterrockwall.com,TX,Dallas,,,Multi-Specialty,Identified as part of the Hybrid JV (THR/USPI) network in TX.,1,10-25,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,
Memorial Hermann Surgical Hospital First Colony,https://memorialhermannsurgicalhospitalfirstcolony.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgical Hospital Kingwood,https://memorialhermannsurgicalhospitalkingwood.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Texas Medical Center,https://memorialhermannsurgerycentertexasmedicalcenter.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Main Street,https://memorialhermannsurgerycentermainstreet.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Southwest,https://memorialhermannsurgerycentersouthwest.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Sugar Land,https://memorialhermannsurgerycentersugarland.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Katy,https://memorialhermannsurgerycenterkaty.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Woodlands,https://memorialhermannsurgerycenterwoodlands.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center North Houston,https://memorialhermannsurgerycenternorthhouston.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Conroe,https://memorialhermannsurgerycenterconroe.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Westside,https://memorialhermannsurgerycenterwestside.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Memorial Village,https://memorialhermannsurgerycentermemorialvillage.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Piney Point,https://memorialhermannsurgerycenterpineypoint.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Bellaire,https://memorialhermannsurgerycenterbellaire.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Memorial Hermann Surgery Center Northwest,https://memorialhermannsurgerycenternorthwest.com,TX,Houston,,,Orthopedics | GI / Endoscopy,Identified as part of the Hybrid JV (MH/USPI) network in TX.,1,10-25,Mid,Hybrid JV (MH/USPI),Jason Cagle,,
Garden City SurgiCenter,https://gardencitysurgicenter.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Long Island Center for Digestive Health,https://longislandcenterfordigestivehealth.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Lynbrook Surgery Center,https://lynbrooksurgerycenter.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Port Jefferson Ambulatory Surgery Center,https://portjeffersonambulatorysurgerycenter.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Richmond ASC,https://richmondasc.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
South Shore Surgery Center,https://southshoresurgerycenter.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
SurgiCare of Manhattan,https://surgicareofmanhattan.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Endoscopy Center of Queens,https://endoscopycenterofqueens.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Suffolk Surgery Center,https://suffolksurgerycenter.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Huntington Endoscopy Center,https://huntingtonendoscopycenter.com,NY,New York,,,Multi-Specialty,Identified as part of the Hybrid JV (Northwell) network in NY.,1,10-25,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Methodist Mansfield Ambulatory Surgery Center,https://www.methodisthealthsystem.org/methodist-mansfield-medical-center/,TX,Mansfield,Multi-Specialty,Mixed,Multi-Specialty | Orthopedics,Strategic partnership between Methodist Health System and Surgery Partners: [methodisthealthsystem.org],1,30+,Mid,Hybrid JV (Methodist/Surgery Partners),"James C. Scoggin, Jr. (CEO Methodist)",https://www.linkedin.com/in/james-scoggin-jr-9b244710/,1417188736
Baptist Health Horizon Surgery Center,https://www.baptistjax.com/,FL,Jacksonville,Multi-Specialty,Ortho/GI/General,Multi-Specialty | Orthopedics,Joint venture network between Baptist Health and Compass Surgical Partners: [baptistjax.com],5,100+,High,Hybrid JV (Baptist/Compass),Eric Fletcher (CSO Baptist),https://www.linkedin.com/in/eric-fletcher-6a0b12/,
Northside Decatur Urology Surgery Center,https://www.northside.com/locations/decatur-urology-surgery-center,GA,Decatur,Urology,Urology,Multi-Specialty,Specialized urological surgery center within the Northside network: [northside.com],1,15+,Mid,Hospital-Owned,Bob Quattrocchi,,1427181051
Gastro Health Washington,https://gastrohealth.com/locations/washington,WA,Seattle,GI / Endoscopy,GI,GI / Endoscopy,Gastro Health platform expansion into the Pacific Northwest: [gastrohealth.com],4,50+,High,Corporate MSO (Gastro Health),Joseph Garcia,,
Cardiovascular Associates of America (CVAUSA) Corporate,https://cvausa.com/,FL,Orlando,Cardiology,Cardiac,Cardiology,National cardiology MSO platform backed by Webster Equity Partners: [cvausa.com],10+,330+,High,Corporate MSO (Webster PE),Tim Attebery (CEO),https://www.linkedin.com/in/timattebery/,
McDonnell Outpatient Surgery Center at Piedmont Atlanta,https://www.piedmont.org/locations/mcdonnell-outpatient-surgery-center,GA,Atlanta,Multi-Specialty,,Multi-Specialty,Flagship Piedmont outpatient facility: [piedmont.org],1,100+,High,Hospital-Owned,Local Regional VP (TBD),,1447214734
Piedmont Augusta Outpatient Surgical Services,https://www.piedmont.org/locations/piedmont-augusta-outpatient-surgery,GA,Augusta,Multi-Specialty,,Multi-Specialty,Piedmont Augusta satellite surgery center: [piedmont.org],1,50+,High,Hospital-Owned,Local Regional VP (TBD),,1659393163
Meridian Mark Outpatient Surgery Center,https://www.northside.com/locations/meridian-mark-outpatient-surgery-center,GA,Atlanta,Multi-Specialty,,Multi-Specialty,Northside Hospital high-volume outpatient center: [northside.com],1,80+,High,Hospital-Owned,Bob Quattrocchi,,1366432424
Peachtree Dunwoody Outpatient Surgery Center,https://www.northside.com/locations/peachtree-dunwoody-outpatient-surgery-center,GA,Atlanta,Multi-Specialty,,Multi-Specialty,Core Northside surgical facility: [northside.com],1,60+,High,Hospital-Owned,Bob Quattrocchi,,1316024107
Texas Health Huguley Surgery Center,https://www.texashealth.org/locations/texas-health-huguley-surgery-center,TX,Burleson,Multi-Specialty,,Multi-Specialty,Joint venture between THR and AdventHealth: [texashealth.org],1,30+,Mid,Hybrid JV (THR/Advent),Winjie Tang Miao,,1538167440
Texas Health Joint Replacement Surgery Center,https://www.texashealth.org/locations/texas-health-joint-replacement-surgery-center,TX,Fort Worth,Orthopedics,,Orthopedics,Dedicated joint replacement center within THR network: [texashealth.org],1,20+,High,Hybrid JV (THR/USPI),Winjie Tang Miao,,1942691456
Texas Health Orthopedic & Spine Surgery Center Willow Park,https://www.texashealth.org/locations/texas-health-orthopedic-spine-surgery-center-willow-park,TX,Willow Park,Ortho | Spine,,Orthopedics | Spine,Specialized orthopedic and spine facility: [texashealth.org],1,25+,Mid,Hybrid JV (THR/USPI),Winjie Tang Miao,,1538562426
Texas Health Center for Diagnostics & Surgery Plano,https://www.thcds.com/,TX,Plano,Multi-Specialty,,Multi-Specialty | Spine,Award-winning THR joint venture hospital: [thcds.com],1,100+,High,Hybrid JV (THR),Winjie Tang Miao,,1619946258
All Saints Surgery Center,https://www.hcafloridahealthcare.com/locations/all-saints-surgery-center,FL,Brooksville,Multi-Specialty,,Multi-Specialty,Part of HCA Florida's surgery center network: [hcafloridahealthcare.com],1,30+,Mid,Corporate MSO (HCA),"Sudeep Singh (SVP Dev, HCA)",,1275525441
Atlantis Outpatient Center,https://www.hcafloridahealthcare.com/locations/atlantis-outpatient-center,FL,Atlantis,Multi-Specialty,,Multi-Specialty,HCA Florida outpatient surgical center: [hcafloridahealthcare.com],1,40+,Mid,Corporate MSO (HCA),"Sudeep Singh (SVP Dev, HCA)",,1699745562
Ambulatory Surgery Center - Tampa,https://asctampa.com/,FL,Tampa,Multi-Specialty,,Multi-Specialty,Established HCA joint venture in Tampa: [asctampa.com],1,50+,High,Corporate MSO (HCA),"Sudeep Singh (SVP Dev, HCA)",,1891784567
Surgery Center of Volusia,https://www.surgerycenterofvolusia.com/,FL,Port Orange,Multi-Specialty,,Multi-Specialty | Orthopedics,High-volume orthopedic and multi-specialty ASC: [surgerycenterofvolusia.com],1,30+,Mid,Corporate MSO (HCA),"Sudeep Singh (SVP Dev, HCA)",,1467469168
Atlanta Outpatient Surgery Center,https://atlantaoutpatient.com/,GA,Sandy Springs,Multi-Specialty,,Multi-Specialty,HCA-affiliated surgery center in the Atlanta market: [atlantaoutpatient.com],1,40+,Mid,Corporate MSO (HCA),"Sudeep Singh (SVP Dev, HCA)",,1306822429
Manhattan Reproductive Surgery Center,https://www.manhattanreproduction.com/,NY,New York,OB/GYN,,Multi-Specialty,Specialized reproductive surgery partner of Northwell: [manhattanreproduction.com],1,20+,Mid,Hybrid JV (Northwell),Jeff Kraut,,
Georgia Spine & Orthopaedics,https://www.gaspineortho.com/,GA,Atlanta,Ortho | Spine,,Orthopedics | Spine,Specializes in spine and orthopedic surgery in Atlanta: [gaspineortho.com],2,10-25,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Atlanta Brain and Spine Care,https://atlantabrainandspine.com/,GA,Atlanta,Spine | Neurosurgery,,Spine,Forefront of treatment for brain and spine disorders: [atlantabrainandspine.com],1,15-30,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Texas Orthopaedic Associates,https://www.txorthopaedic.com/,TX,Dallas,Orthopedics,,Orthopedics,Three decades of orthopedic care in Dallas-Fort Worth: [txorthopaedic.com],5,50+,High,Physician-Owned / Independent,Local Regional VP (TBD),,
Texas Orthopedics Sports & Rehabilitation Associates,https://www.txortho.com/,TX,Austin,Orthopedics,,Orthopedics,Largest orthopedic group in Central Texas: [txortho.com],1,40+,High,Physician-Owned / Independent,Local Regional VP (TBD),,
OrthoVirginia,https://www.orthovirginia.com/,VA,Richmond,Orthopedics,,Orthopedics,Virginia's largest provider of orthopedic and therapy care: [orthovirginia.com],10+,100+,High,Physician-Owned / Independent,Local Regional VP (TBD),,
Coral Gables Surgery Center,https://www.coralgablessurgerycenter.com/,FL,Miami,Multi-Specialty,,Multi-Specialty,Top-ranked ambulatory surgery center in Florida: [coralgablessurgerycenter.com],1,50+,High,Corporate / JV,Local Regional VP (TBD),,
The Surgery Center at TGH Brandon Healthplex,https://www.tgh.org/locations/tgh-brandon-healthplex,FL,Tampa,Multi-Specialty,,Multi-Specialty,Tampa General Hospital's outpatient surgery facility: [tgh.org],1,40+,High,Hospital-Owned,Local Regional VP (TBD),,
Florida Medical Clinic Surgery Center,https://www.floridamedicalclinic.com/,FL,Tampa,Multi-Specialty,,Multi-Specialty,Integrated clinic with dedicated outpatient surgery centers: [floridamedicalclinic.com],2,100+,High,Physician-Owned / Independent,Local Regional VP (TBD),,
SCA Health - Sand Lake Surgery Center,https://sandlakesurgerycenter.com/,FL,Orlando,Multi-Specialty,,Multi-Specialty,SCA Health affiliated high-volume ASC in Orlando: [sandlakesurgerycenter.com],1,30+,High,Corporate MSO (SCA),"Marie Edler (CGO, SCA Health)",,
HCA Healthcare - Bayside Ambulatory Surgery Center,https://baysideascmiami.com/,FL,Miami,Multi-Specialty,,Multi-Specialty,HCA-affiliated ASC serving the Miami market: [baysideascmiami.com],1,40+,High,Corporate MSO (HCA),"Sudeep Singh (SVP Dev, HCA)",,
TGH Surgery Center at Morsani,https://www.tgh.org/locations/tgh-surgery-center-morsani,FL,Tampa,Multi-Specialty,,Multi-Specialty,Tampa General joint venture at Morsani Center: [tgh.org],1,50+,High,Hospital-Owned,Local Regional VP (TBD),,
Orlando Health Jewett Orthopedic Institute,https://www.orlandohealth.com/jewett-orthopedic-institute,FL,Orlando,Orthopedics,,Orthopedics,Premier orthopedic institute in Florida: [orlandohealth.com],1,100+,High,Hospital-Owned,Local Regional VP (TBD),,
Memorial Hermann Orthopedic & Spine Hospital,https://memorialhermann.org/locations/orthopedic-spine-hospital,TX,Bellaire,Ortho | Spine,,Orthopedics | Spine,Specialized hospital for orthopedic and spine care: [memorialhermann.org],1,80+,High,Hybrid JV (MH),Heath Rushing,,1366606340
Surgery Center at Doral,https://surgerycenteratdoral.com/,FL,Doral,Orthopedics,,Orthopedics,Accredited center focusing on orthopedic and sports medicine surgery: [surgerycenteratdoral.com],1,20+,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
The Surgical Center of the Treasure Coast,https://sctcfl.com/,FL,Port St. Lucie,Ortho | Spine | Pain,,Orthopedics | Spine | Pain Management,"Offers orthopedic joint surgery, spine surgery, and pain management: [sctcfl.com]",1,15+,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
Texas Orthopedic Hospital,https://texasorthopedic.com/,TX,Houston,Orthopedics,,Orthopedics | Spine,One of the only specialty hospitals in the country focusing solely on orthopedics: [texasorthopedic.com],1,150+,High,Corporate MSO (HCA),"Sudeep Singh (SVP Dev, HCA)",,1346215774
Texas Orthopedic Specialists,https://www.txortho.net/,TX,Keller,Orthopedics,,Orthopedics,Orthopedic and sports medicine care serving Fort Worth and Keller: [txortho.net],1,10+,Mid,Physician-Owned / Independent,Local Regional VP (TBD),,
The Orthopedic Institute (FL),https://www.toi-health.com/,FL,Gainesville,Orthopedics,,Orthopedics | Spine,Comprehensive orthopedic and spine center in North Central Florida: [toi-health.com],3,40+,High,Physician-Owned / Independent,Local Regional VP (TBD),,
